Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 0.5; max tp 43380.0; max fp 211574.0; min fn 9663.0; max tp_pred_crit 27723.52670436398; max tp_gt_crit 27651.128264510156; max fp_pred_crit 99277.24311921351; min fn_gt_crit 4376.448356980753
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 1.0; max tp 49653.0; max fp 205301.0; min fn 3390.0; max tp_pred_crit 30748.66988412777; max tp_gt_crit 30710.714793650954; max fp_pred_crit 96252.09993944899; min fn_gt_crit 1351.3051772169529
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 2.0; max tp 50880.0; max fp 204074.0; min fn 2163.0; max tp_pred_crit 31317.11912850808; max tp_gt_crit 31232.955113010976; max fp_pred_crit 95683.65069506857; min fn_gt_crit 782.8559328366828
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name car; dist_th 4.0; max tp 51607.0; max fp 203347.0; min fn 1436.0; max tp_pred_crit 31635.83230249962; max tp_gt_crit 31526.652252178814; max fp_pred_crit 95364.93752107679; min fn_gt_crit 464.1427588451479
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 0.5; max tp 5383.0; max fp 101060.0; min fn 3877.0; max tp_pred_crit 3273.621632725711; max tp_gt_crit 3240.5043863847727; max fp_pred_crit 47878.653350473156; min fn_gt_crit 1931.6407510240456
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 1.0; max tp 7575.0; max fp 98868.0; min fn 1685.0; max tp_pred_crit 4442.646316034989; max tp_gt_crit 4382.985105393154; max fp_pred_crit 46709.628667163895; min fn_gt_crit 762.6160677147682
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 2.0; max tp 8499.0; max fp 97944.0; min fn 761.0; max tp_pred_crit 4903.730688656392; max tp_gt_crit 4853.963850802714; max fp_pred_crit 46248.5442945425; min fn_gt_crit 301.5316950933775
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name truck; dist_th 4.0; max tp 8814.0; max fp 97629.0; min fn 446.0; max tp_pred_crit 5067.199596368161; max tp_gt_crit 5010.130926839342; max fp_pred_crit 46085.07538683072; min fn_gt_crit 138.06278738160563
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 0.5; max tp 1008.0; max fp 18084.0; min fn 1054.0; max tp_pred_crit 590.9049133598631; max tp_gt_crit 565.5008854197856; max fp_pred_crit 9255.545838998032; min fn_gt_crit 477.7790643627591
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 1.0; max tp 1661.0; max fp 17431.0; min fn 401.0; max tp_pred_crit 917.6060601350674; max tp_gt_crit 894.7839280673015; max fp_pred_crit 8928.844692222818; min fn_gt_crit 151.0779175875549
Model regnet-regnetX_FPN; MAX_DISTANCE_OBJ 30.0; MAX_DISTANCE_INTERSECT 20.0; MAX_TIME_INTERSECT 10.0; class_name bus; dist_th 2.0; max tp 1935.0; max fp 17157.0; min fn 127.0; max tp_pred_crit 1046.623192290007; max tp_gt_crit 1020.139281981026; max fp_pred_crit 8799.827560067883; min fn_gt_crit 22.060785432613557
